Alaska Villages Electric Cooperative,AK
Chugach Electric Association,AK
Copper Valley Electric Association,AK
Golden Valley Electric Association,AK
Ketchikan Public Utilities (KPU),AK
Kodiak Electric Association,AK
Matanuska Electric Association,AK
Municipal Light & Power,AK
Sitka Electric,AK
Other,AK
AECO (Alabama Electric Company),AL
Alabama Power,AL
Alabama Rural Electric Association,AL
Baldwin EMC,AL
Central Alabama Electric Co-Op,AL
Cherokee Electric Cooperative,AL
City of Athens Utilities,AL
City of Bessemer,AL
City of Bessemer Electric and Water Service,AL
Covington Electric Cooperative,AL
Huntsville Utilities,AL
North Alabama Electric Coop,AL
Opelika Power Services,AL
PowerSouth Energy Cooperative,AL
Riviera Utilities,AL
Sand Mountain Electric Co-Op,AL
Sheffield Utilities,AL
Srd Electrical Services,AL
Tallapoosa River Electric Cooperative (TREC),AL
Tennessee Valley Authority,AL
Wiregrass Electric Cooperative,AL
Other,AL
Arkansas Valley Electric Cooperative,AR
C and L Electric Co-Op Corporation,AR
Carroll Electric Cooperative Corporation,AR
Entergy,AR
First Electric Cooperative,AR
North Arkansas Electric Cooperative,AR
North Little Rock Electric,AR
Ozarks Electric Cooperative,AR
Paragould Light Water and Cable (PLWC),AR
Petit Jean Electric Cooperative,AR
Southwest Arkansas Electric Co-op,AR
Spark Energy,AR
Other,AR
Arizona Public Service,AZ
Tucson Electric Power,AZ
Sulphur Springs Valley Electric Cooperative,AZ
UniSource Energy Services,AZ
Electrical District No. 2,AZ
Trico Electric Cooperative,AZ
City of Mesa Utilities,AZ
Xcel Energy,AZ
Hohokam Irrigation and Drainage District,AZ
Other,AZ
Alameda Municipal Power,CA
Anaheim Public Utilities,CA
Azusa Light & Water,CA
Bear Valley Electric,CA
Burbank Water & Power,CA
Colton Public Utilities Glendale Public Service Department,CA
Gridley Municipal Utilities,CA
Healdsburg Municipal Electric Department,CA
Imperial Irrigation District,CA
Los Angeles Department of Water and Power,CA
Mountain Utilities,CA
Pacific Gas & Electric,CA
Pasadena Water & Power,CA
Riverside Public Utilities,CA
Sacramento Municipal Utility District,CA
Silicon Valley Power,CA
San Diego Gas & Electric,CA
Southern California Edison,CA
Lodi Electric Utility,CA
Modesto Irrigation District,CA
Ambit Energy,CA
IGS Energy,CA
Roseville Electric,CA
Glendale Water and Power,CA
Banning Electric Department,CA
Biggs Electrical Department,CA
City of Redding Electric Utility,CA
Island Energy,CA
Marin Clean Energy,CA
Merced Irrigation District,CA
Moreno Valley Electrical Utility,CA
Palo Alto Electric Utility,CA
Truckee-Donner Public Utilities District,CA
Ukiah Municipal Utility District,CA
Other,CA
Xcel Energy,CO
United Power Inc,CO
Other,CO
Connecticut Light & Power,CT
United Illuminating,CT
Ambit Energy,CT
Groton Utilities,CT
Eversource Energy,CT
National Grid,CT
Other,CT
PEPCO,DC
Ambit Energy,DC
Other,DC
Delmarva Power,DE
City of Milford Electric Department,DE
Delaware Electric Cooperative,DE
City of Dover Electric Department,DE
Town of Smyrna,DE
Town of Middletown Utilities,DE
City of Lewes,DE
City of Newark,DE
City of Seaford,DE
Town of Clayton,DE
Other,DE
Baugh Southeast Co-Op,FL
Choctawhatchee Electric Co-Op,FL
City of Bartow Utility,FL
City of Leesburg,FL
City of New Smyrna Beach,FL
City of Tallahassee Utilities,FL
City of Vero Beach,FL
City of Winter Park,FL
Clay Electric Co-op,FL
Clay Electric Cooperative,FL
Duke Energy,FL
Florida Keys Electric Cooperative,FL
Florida Municipal Power Agency,FL
Florida Power & Light,FL
Florida Public Utility Company Palm Beach,FL
Gainesville Regional Utilities,FL
Glades Electric Cooperative,FL
Gulf Power,FL
JEA,FL
